2023-03-06 18:38:41,678 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:41,678 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:41,694 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:38:51,226 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:51,227 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:51,243 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:38:54,478 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:54,478 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:54,493 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:38:59,263 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:59,263 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:59,285 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:02,095 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:39:02,095 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:39:02,117 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:08,061 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:39:08,062 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:39:08,078 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:10,970 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:39:10,970 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:39:10,986 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:14,627 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2023-03-06 18:39:14,633 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-03-06 18:39:14,639 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-03-06 18:39:14,643 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-03-06 18:39:14,646 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-03-06 18:39:14,730 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-03-06 18:39:15,831 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-03-06 18:39:16,005 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-03-06 18:39:16,168 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
